"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","244","validateCreatePlayListWithNoMandatoryField","Suite","Sun Nov 03 10:01:02 IST 2024","passed","Sun Nov 03 10:01:02 IST 2024","com.spotify.testscenarios.TC01_PlayListCRUD","Test","com.spotify.testscenarios.TC01_PlayListCRUD","validateCreatePlayListWithNoMandatoryField"
"","3560","validateCreatePlayList","Suite","Sun Nov 03 10:00:57 IST 2024","passed","Sun Nov 03 10:01:01 IST 2024","com.spotify.testscenarios.TC01_PlayListCRUD","Test","com.spotify.testscenarios.TC01_PlayListCRUD","validateCreatePlayList"
"","1294","validateGetAlbumBasedOnAlbumID","Suite","Sun Nov 03 10:00:57 IST 2024","passed","Sun Nov 03 10:00:59 IST 2024","com.spotify.testscenarios.TC02_Album","Test","com.spotify.testscenarios.TC02_Album","validateGetAlbumBasedOnAlbumID"
"","433","validateUpdatePlayListByPassingPlayListID","Suite","Sun Nov 03 10:01:01 IST 2024","passed","Sun Nov 03 10:01:02 IST 2024","com.spotify.testscenarios.TC01_PlayListCRUD","Test","com.spotify.testscenarios.TC01_PlayListCRUD","validateUpdatePlayListByPassingPlayListID"
"","342","validateGetPlayListByPassingPlayListID","Suite","Sun Nov 03 10:01:01 IST 2024","failed","Sun Nov 03 10:01:01 IST 2024","com.spotify.testscenarios.TC01_PlayListCRUD","Test","com.spotify.testscenarios.TC01_PlayListCRUD","validateGetPlayListByPassingPlayListID"
